,day,time,temp,salinity,pH
0,4/18/2022,0:00:00,76,31,8.23
1,4/18/2022,0:00:30,75,30,8.19
2,4/18/2022,0:01:00,76,33,8.19
3,4/18/2022,0:01:30,76,33,8.18
4,4/18/2022,0:02:00,77,33,8.24
5,4/18/2022,0:02:30,77,30,8.21
6,4/18/2022,0:03:00,75,30,8.120000000000001
7,4/18/2022,0:03:30,78,31,8.120000000000001
8,4/18/2022,0:04:00,76,31,8.27
9,4/18/2022,0:04:30,76,33,8.24
10,4/18/2022,0:05:00,76,30,8.16
11,4/18/2022,0:05:30,78,31,8.21
12,4/18/2022,0:06:00,76,31,8.15
13,4/18/2022,0:06:30,75,32,8.21
14,4/18/2022,0:07:00,75,30,8.21
15,4/18/2022,0:07:30,76,33,8.19
16,4/18/2022,0:08:00,74,31,8.22
17,4/18/2022,0:08:30,77,32,8.24
18,4/18/2022,0:09:00,75,31,8.1
19,4/18/2022,0:09:30,77,32,8.31
20,4/18/2022,0:10:00,76,30,8.24
21,4/18/2022,0:10:30,76,30,8.18
22,4/18/2022,0:11:00,76,30,8.26
23,4/18/2022,0:11:30,75,33,8.28
24,4/18/2022,0:12:00,76,33,8.19
25,4/18/2022,0:12:30,77,31,8.2
26,4/18/2022,0:13:00,74,31,8.28
27,4/18/2022,0:13:30,76,31,8.22
28,4/18/2022,0:14:00,76,33,8.27
29,4/18/2022,0:14:30,77,31,8.24
30,4/18/2022,0:15:00,75,31,8.21
31,4/18/2022,0:15:30,77,32,8.290000000000001
32,4/18/2022,0:16:00,77,32,8.13
33,4/18/2022,0:16:30,76,33,8.22
34,4/18/2022,0:17:00,79,32,8.16
35,4/18/2022,0:17:30,77,32,8.2
36,4/18/2022,0:18:00,77,30,8.18
37,4/18/2022,0:18:30,75,32,8.22
38,4/18/2022,0:19:00,77,33,8.23
39,4/18/2022,0:19:30,76,31,8.19
40,4/18/2022,0:20:00,76,31,8.25
41,4/18/2022,0:20:30,74,32,8.16
42,4/18/2022,0:21:00,75,31,8.24
43,4/18/2022,0:21:30,76,33,8.11
44,4/18/2022,0:22:00,74,30,8.15
45,4/18/2022,0:22:30,76,32,8.2
46,4/18/2022,0:23:00,75,32,8.22
47,4/18/2022,0:23:30,76,31,8.21
48,4/18/2022,0:24:00,77,32,8.34
49,4/18/2022,0:24:30,77,32,8.09
50,4/18/2022,0:25:00,76,30,8.19
51,4/18/2022,0:25:30,76,32,8.3
52,4/18/2022,0:26:00,75,30,8.14
53,4/18/2022,0:26:30,76,31,8.13
54,4/18/2022,0:27:00,76,32,8.16
55,4/18/2022,0:27:30,77,30,8.18
56,4/18/2022,0:28:00,75,32,8.2
57,4/18/2022,0:28:30,77,31,8.11
58,4/18/2022,0:29:00,76,32,8.17
59,4/18/2022,0:29:30,75,32,8.19
60,4/18/2022,0:30:00,77,32,8.27
61,4/18/2022,0:30:30,76,32,8.17
62,4/18/2022,0:31:00,76,30,8.27
63,4/18/2022,0:31:30,78,32,8.25
64,4/18/2022,0:32:00,75,32,8.13
65,4/18/2022,0:32:30,76,32,8.1
66,4/18/2022,0:33:00,75,31,8.25
67,4/18/2022,0:33:30,76,32,8.18
68,4/18/2022,0:34:00,75,32,8.21
69,4/18/2022,0:34:30,76,31,8.11
70,4/18/2022,0:35:00,75,33,8.16
71,4/18/2022,0:35:30,75,31,8.15
72,4/18/2022,0:36:00,76,31,8.21
73,4/18/2022,0:36:30,77,30,8.18
74,4/18/2022,0:37:00,76,32,8.16
75,4/18/2022,0:37:30,75,31,8.2
76,4/18/2022,0:38:00,76,30,8.120000000000001
77,4/18/2022,0:38:30,75,31,8.13
78,4/18/2022,0:39:00,76,33,8.17
79,4/18/2022,0:39:30,76,32,8.19
80,4/18/2022,0:40:00,77,32,8.13
81,4/18/2022,0:40:30,75,31,8.19
82,4/18/2022,0:41:00,75,32,8.21
83,4/18/2022,0:41:30,77,31,8.18
84,4/18/2022,0:42:00,78,32,8.24
85,4/18/2022,0:42:30,75,32,8.14
86,4/18/2022,0:43:00,75,33,8.17
87,4/18/2022,0:43:30,77,31,8.22
88,4/18/2022,0:44:00,76,32,8.17
89,4/18/2022,0:44:30,77,33,8.16
90,4/18/2022,0:45:00,78,32,8.19
91,4/18/2022,0:45:30,76,32,8.16
92,4/18/2022,0:46:00,76,32,8.120000000000001
93,4/18/2022,0:46:30,77,32,8.24
94,4/18/2022,0:47:00,75,32,8.120000000000001
95,4/18/2022,0:47:30,76,31,8.19
96,4/18/2022,0:48:00,78,32,8.120000000000001
97,4/18/2022,0:48:30,76,31,8.19
98,4/18/2022,0:49:00,75,33,8.3
99,4/18/2022,0:49:30,77,30,8.18
100,4/18/2022,0:50:00,77,32,8.2
101,4/18/2022,0:50:30,75,31,8.19
102,4/18/2022,0:51:00,77,33,8.13
103,4/18/2022,0:51:30,76,32,8.16
104,4/18/2022,0:52:00,75,32,8.22
105,4/18/2022,0:52:30,76,31,8.17
106,4/18/2022,0:53:00,75,32,8.2
107,4/18/2022,0:53:30,76,30,8.15
108,4/18/2022,0:54:00,74,32,8.2
109,4/18/2022,0:54:30,74,32,8.15
110,4/18/2022,0:55:00,76,31,8.26
111,4/18/2022,0:55:30,75,33,8.23
112,4/18/2022,0:56:00,76,31,8.120000000000001
113,4/18/2022,0:56:30,76,32,8.24
114,4/18/2022,0:57:00,75,31,8.21
115,4/18/2022,0:57:30,76,32,8.26
116,4/18/2022,0:58:00,77,31,8.15
117,4/18/2022,0:58:30,77,32,8.290000000000001
118,4/18/2022,0:59:00,76,31,8.120000000000001
119,4/18/2022,0:59:30,75,30,8.24